Record_ID,Base_Ingredient_Name,Dish_Variant_Name,Category,Cooking_Method,Fat_Medium_Used,Moisture_g,Energy_kcal,Protein_g,Total_Fat_g,Carbohydrate_g,Dietary_Fiber_g,Sugars_g,Calcium_mg,Iron_mg,Zinc_mg,Potassium_mg,Sodium_mg,Vitamin_C_mg,Thiamin_B1_mg,Folate_mcg,Glycemic_Index_Est,NOVA_Group
IND-000001,Bajra (Pearl Millet),Bajra (Pearl Millet) (Boiled),Cereals/Millets,Boiled,No Added Fat,65.5,135.4,4.01,1.95,25.45,3.32,0.39,12.78,2.78,1.08,90.79,2.43,0.0,0.1,10.5,69,1
IND-000002,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Coconut Oil) [Home-Style],Cereals/Millets,Deep-Fried,Coconut Oil,7.7,508.2,11.27,20.62,69.39,8.87,1.04,41.18,8.09,3.14,299.11,147.08,0.0,0.234,25.8,54,3
IND-000003,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Coconut Oil) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Coconut Oil,9.6,437.9,11.03,13.57,67.91,8.68,1.02,40.31,7.92,3.07,292.73,83.93,0.0,0.229,25.3,57,3
IND-000004,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Coconut Oil) [Rich/Festive],Cereals/Millets,Deep-Fried,Coconut Oil,10.0,561.5,10.99,27.42,67.68,8.65,1.02,40.17,7.9,3.06,291.76,209.91,0.0,0.228,25.2,52,3
IND-000005,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Coconut Oil) [Restaurant-Style],Cereals/Millets,Deep-Fried,Coconut Oil,10.4,531.8,10.93,24.31,67.31,8.6,1.01,39.95,7.85,3.04,290.17,181.87,0.0,0.227,25.0,53,3
IND-000006,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Ghee) [Home-Style],Cereals/Millets,Deep-Fried,Ghee,10.0,499.0,10.99,20.49,67.68,8.65,1.02,40.17,7.9,3.06,291.73,146.91,0.0,0.228,25.2,54,3
IND-000007,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Ghee) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Ghee,10.4,435.0,10.94,13.53,67.36,8.61,1.01,39.98,7.86,3.05,290.37,83.88,0.0,0.227,25.1,57,3
IND-000008,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Ghee) [Rich/Festive],Cereals/Millets,Deep-Fried,Ghee,7.5,571.3,11.29,27.56,69.54,8.89,1.05,41.27,8.11,3.14,299.76,210.1,0.0,0.235,25.9,52,3
IND-000009,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Ghee) [Restaurant-Style],Cereals/Millets,Deep-Fried,Ghee,8.0,541.5,11.23,24.45,69.13,8.83,1.04,41.03,8.07,3.13,298.01,182.06,0.0,0.233,25.7,53,3
IND-000010,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Groundnut Oil) [Home-Style],Cereals/Millets,Deep-Fried,Groundnut Oil,8.0,506.8,11.23,20.6,69.13,8.83,1.04,41.03,8.06,3.12,297.98,147.06,0.0,0.233,25.7,54,3
IND-000011,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Groundnut Oil) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Groundnut Oil,9.1,440.2,11.1,13.61,68.34,8.73,1.03,40.56,7.97,3.09,294.61,83.98,0.0,0.231,25.4,56,3
IND-000012,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Groundnut Oil) [Rich/Festive],Cereals/Millets,Deep-Fried,Groundnut Oil,10.0,561.1,10.98,27.41,67.61,8.64,1.02,40.13,7.89,3.06,291.44,209.9,0.0,0.228,25.2,52,3
IND-000013,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Groundnut Oil) [Restaurant-Style],Cereals/Millets,Deep-Fried,Groundnut Oil,7.8,542.3,11.25,24.46,69.29,8.85,1.04,41.13,8.08,3.13,298.69,182.07,0.0,0.234,25.8,53,3
IND-000014,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Mustard Oil) [Home-Style],Cereals/Millets,Deep-Fried,Mustard Oil,6.7,512.2,11.39,20.67,70.14,8.96,1.05,41.63,8.18,3.17,302.35,147.16,0.0,0.237,26.1,54,3
IND-000015,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Mustard Oil) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Mustard Oil,8.1,444.2,11.22,13.66,69.09,8.83,1.04,41.01,8.06,3.12,297.82,84.05,0.0,0.233,25.7,56,3
IND-000016,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Mustard Oil) [Rich/Festive],Cereals/Millets,Deep-Fried,Mustard Oil,9.6,562.9,11.04,27.44,67.95,8.68,1.02,40.33,7.93,3.07,292.93,209.94,0.0,0.229,25.3,52,3
IND-000017,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Mustard Oil) [Restaurant-Style],Cereals/Millets,Deep-Fried,Mustard Oil,7.8,542.3,11.25,24.46,69.29,8.85,1.04,41.13,8.08,3.13,298.69,182.07,0.0,0.234,25.8,53,3
IND-000018,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Refined Oil) [Home-Style],Cereals/Millets,Deep-Fried,Refined Oil,8.3,505.7,11.19,20.58,68.93,8.81,1.04,40.91,8.04,3.12,297.14,147.04,0.0,0.233,25.6,54,3
IND-000019,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Refined Oil) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Refined Oil,8.3,443.5,11.2,13.65,68.95,8.81,1.04,40.93,8.04,3.12,297.24,84.04,0.0,0.233,25.7,56,3
IND-000020,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Refined Oil) [Rich/Festive],Cereals/Millets,Deep-Fried,Refined Oil,7.0,573.3,11.35,27.58,69.91,8.93,1.05,41.49,8.16,3.16,301.35,210.14,0.0,0.236,26.0,52,3
IND-000021,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Refined Oil) [Restaurant-Style],Cereals/Millets,Deep-Fried,Refined Oil,8.9,538.0,11.12,24.4,68.48,8.75,1.03,40.64,7.99,3.1,295.19,181.99,0.0,0.231,25.5,53,3
